timestamp,id,link,caption,author,network,likes
9/27/16 2:32,2566337,http://imgur.com/quaGYRQ,"Quora\n Sign In\n Revolution\n Trump-Pence 2016 Donald Trump\n The United States of America\n ls Trump leading a proletarian revolt in the United States?\n 3 leading\n leading\n ANSWERS\n proletarian revolt\n represented a lot and actually ha\n That is\n Proletarian\n man SOC\n formalized\n o\n As the theories of Marx began to take hold in the mind\n mean\n less ""anybody who wasn't a\n leading a proletarian revol\n narrower, and really only me\n And that's where the word ha\n with you. It indicates the fac\n Trump\n The 100 Variab\n Support for Don\n Open in app",FULLCOMMUNISM,imgur,-9
10/22/16 20:28,3076845,http://imgur.com/a/Vwome,"Menno\n Home Find Friends\n Search people\n Donald J. Trump (MakeAmericaGreatAgain)\n Member since: Nov. 2015\n Pay\n Charge\n Pay or charge someone\n Your Payments\n Donald J. Trump charged Mexico\n $25,000,000,000\n The Wal\n Like Wednesday at 627 PM\n Leave a comment...\n $25,000,000,000\n Donald J. Trump charged Mexico\n To pay for the Wall Ibuild!\n Like Monday at 7:26 PM\n VMike Pence likes this.\n Enrique Pena Nieto For the last time, we will not\n pay for this.\n Monday at 11:59 PM",politicalhumor,imgur,-1
11/1/16 12:22,3482416,http://imgur.com/Zh4CZSe,PENCE NEEDS HIS KiMosABE\n SICK HILLARY NEEDS HER CHEMOTHERAPY\n Memes of The Conservative Curmudgeon,forwardsfromgrandma,imgur,0
10/31/16 1:41,3410759,http://imgur.com/JYTdhl9,oz\n PENCE,funny,imgur,0
10/28/16 3:41,3256252,http://imgur.com/uTYLSi7,"home US\n election 2016 world a all\n ME US elections 2016\n Mike Pence's plane slides off\n runway at LaGuardia airport\n in New York\n Mike Pence, the Republican vice-presidential\n nominee, has emerged unscathed after his",FULLCOMMUNISM,imgur,0
10/27/16 17:50,3234200,http://imgur.com/hC88Teb,"C File\n pence Zap fags\n jpg (217 KB, 1402x1357)\n Anonymous (ID: O\n i 10/27/16 (Thu)19:29:39 No.94793580 [Reply] 2294 z94509\n REMINDER:\n Mike Pence is a proponent of\n gay conversion therapy, which uses\n What do you guys think of Mike ""Fag Zapper"" Pence?\n taxpayer money to literally electrocute\n the gay out out of teenagers.\n 4 replies omitted. Click here\n to view.\n Anonymous (ID: Qeet7mz4 10/27/16(Thu) 19:36:33 No.94794269\n 94794078\n Amperes in queers\n Anonymous (ID: NNCh11Qq 10/27/16 (Thu) 19:38:46 No. 94794509\n 94793580 (OP)\n WTF I love Mike Pence now!\n Anonymous (ID: O\n i 10/27/16 (Thu)19:41:13 No.94794749\n Mike ""Zapping Peter-Eaters Like Skeeters"" Pence\n Anonymous (ID: O\n i 10/27/16(Thu) 19:45:02 No.94795202\n Mike ""The No-Homo Electro"" Pence.\n Anonymous (ID: un7figsW 10/27/16 (Thu)19:46:21 No.94795363\n Mike ""AC/DC if you're LGBT Pence",4chan,imgur,0
10/26/16 13:01,3174718,http://imgur.com/5hN4XOF,HUMP TRUMP LHP TRUMP\n E TRUMP\n TRUMP\n TRUMP\n TRU METRU MP\n PENCE PENCE\n TRUMP\n TRUMP RUM\n TRUN\n TRUMP\n GREAT ILAIME\n TRU MP TRUMP\n TRUMP\n TRU Mt PEN\n TRUMP\n RUMITRUMP TR\n TRUMP\n TRUMP,politicalhumor,imgur,0
10/23/16 22:36,3102650,http://imgur.com/8mROrGY,deserttson\n methlehem\n Never ask a British person about the price of Freddo's\n abithehugslut answered you:\n whats the price of freddo's\n deserttsong\n OKAY RIGHT SO BASICALLY FREDDO'S ORIGINALLY COST 5 PENCE\n THOSE WERE THE GOOD DAYS THE HAPPY DAYS FULL OF JOY AND\n SUNSHINE AND CHEAP DELICIOUS CHOCOLATY TREATS BUT THEN THE\n ECONOMY WENT TO HELLAND CADBURY THE CHOCOLATE COMPANY\n WHO LITERALLY MAKE ALL THE GOOD CHOCOLATE IN ENGLAND WERE\n LIKE HEY LETS RAISE THE PRICE TO 8 PENCE AND EVERYONE WAS LIKE\n WE UNDERSTAND TIMES ARE HARD BUT THEN CADBURY RAISED THEM TO\n 10 PENCE LIKE OKAY DUDES WOH STOP THATS DOUBLE THE ORIGINAL\n PRICE AND THEN THEY RAISED IT TO 20 PENCE PER FREDDO THAT IS\n FUCKlNG BULLSHIT ONCE YOU COULD BUY 20 FREDDOS FOR ONE POUND\n AND NOW YOU CAN ONLY BUY 4\n FUCK\n asked a British person about Freddo's,tumblr,imgur,0
10/19/16 18:23,3002510,http://imgur.com/J7KwOfQ,"o D\n ...oo AT&T LTE nunlocked Y 30%\n 1:47\n -1:09\n Electable (Give It Up)\n Jimmy Eat World\n Chase This Lig\n Of FACEBOOK\n 2m ago\n NowThis is live now: ""Watch Vice Presidential\n candidate Governor Mike Pence..."".\n Press for more\n Of FACEBOOK\n 2m ago\n NowThis is live now: ""Watch Vice Presidential\n candidate Governor Mike Pence...\n Press home to open",funny,imgur,0
10/18/16 21:10,2930743,http://imgur.com/6G0PNe1,DOG TURDS FOR\n TRUMP\n 2016\n PENCE,politicalhumor,imgur,0
10/14/16 19:15,2920704,http://imgur.com/zAUFD7y,"""I'VE MADE A\n HUGELMISTAKE""\n MIKE PENCE EDITION\n made",politicalhumor,imgur,0
10/10/16 15:02,2748778,http://imgur.com/FzZqqKn,"MAANDAa 10 OKTOBER 2016\n NRC NL\n HANDELSBLAD\n Nederlands elftal\n Theresa May bu Rutie\n Het nieuwe oranje\n Desert Trip in Californie\n Brexit benek\n Het einde van een tijdperk in\n Wh 1\n Paul McCartney wakei Neit\n Amerikaanse verkiezingen\n Trump heeft geen vrienden meer\n verkiezingen vsHet tweede debat tussen Clinton en Trump had een duistere toon. die ongekend is in de moderne\n geschiedenis.\n tuis, na Trumps achterstand op Clin\n lk ihe\n ieringen, die op dezelfde als de\n digden in gevaar brengt.\n Trump gaf ook signalen van een\n Geen vrienden meer\n beert te redden wat er te\n redden val\n over hoe hs als een klassieke neexon, wil des\n Hij praatte zaterdag op een crisisve\n hoods inilitairingriipin togen de Rus-\n gadering in Trump Tower in op\n Noch syrische alliantie Trump aei\n kandidaat om zijn excuses aan te b\n volgde een halfslachtig.\n al willen maar weet dat dat met Rusland, we hebben niet\n ge\n pat. Daarnee de kanu praat ,ael Trump .Maar we ziin het\n Hierop adviseerde Priebus, zo schr\n Donald Trump\n The Wall Street Journal, geldschiet\n De conservatief pence liet eerder\n hun donaties strategisch in te zett\n Them niseensaan en heeft weten dat hil diep geraakt was door\n minder voor Trump, meer voor\n lienes Dat maakt humps seksisme in het filmpje. Hij\n servatieven in andere verkiezingen\n liet een optreden met Trump in Wis\n Trump heeft nog een paar trou\n de eeelaamme Trump consinschieten, en hield zich het hele\n woordvoerders. En hij been zijn\n nacht, tijdens het weekend onzichtbaar zelfs deze run.\n hang, van wie de grote meerderb\n detal met llalary Clintoo, mate wil niet meer met Trump\n weinig kwaad zag in zijn opmerl\n hat had\n een aaa geestige en genen worden.\n gen over vrouwen. Daarom maak\n kracht, zoals hildat ook en tnet su\n a ulethalf voor het de- the ene na de andere partijprominent\n tijdens de voorverkiezingen dee\n n Trump persconferentie laat Trump vallen. Tientallen gouver-\n partij schaart hij onder zijn vija\n en bekende na\n verde swt vesiuwen het Beurs. Congresleden\n in een Twitterstorm dit weeken\n n var till en Bullary Clinton, men hebben hun steun ingetrokkeni\n schuldigde hij de partijtopervar\n vrouwen aanprnaud Condoleeraa Rice, John McCain. At\n te laten vallen. Hij schreef\n acht min door Bill dinton, nold Schwarzenegger en John Kasich\n meet: Geweldige steunl (Be\n keer vrouw wier verkrachter Rice schreef Genoeg Donald Trump",ik_ihe,imgur,0
10/9/16 5:26,2737314,http://imgur.com/5oT4c6d,HUNTER PENCE\n FRANCISC\n GATHER\n PENCE,memes,imgur,0
10/9/16 1:48,2729397,http://imgur.com/nefjbtQ,LEAKED PHOTO: Mike Pence grabbing a\n pussy,BlackPeopleTwitter,imgur,0
